year,area,population,aging_rate_pct,net_migration_rate,households,prefecture_en
2020,Hokkaido,"5,224,614",32.2,***,"2,476,846",Hokkaido
2020,Aomori-ken,"1,237,984",33.9,***,"511,526",Aomori
2020,Iwate-ken,"1,210,534",33.8,***,"492,436",Iwate
2020,Miyagi-ken,"2,301,996",28.3,***,"982,523",Miyagi
2020,Akita-ken,"959,502",37.6,***,"385,187",Akita
2020,Yamagata-ken,"1,068,027",34.0,***,"398,015",Yamagata
2020,Fukushima-ken,"1,833,152",31.8,***,"742,911",Fukushima
2020,Ibaraki-ken,"2,867,009",29.9,***,"1,184,133",Ibaraki
2020,Tochigi-ken,"1,933,146",29.2,***,"796,923",Tochigi
2020,Gumma-ken,"1,939,110",30.4,***,"805,252",Gunma
2020,Saitama-ken,"7,344,765",27.1,***,"3,162,743",Saitama
2020,Chiba-ken,"6,284,480",27.6,***,"2,773,840",Chiba
2020,Tokyo-to,"14,047,594",22.8,***,"7,227,180",Tokyo
2020,Kanagawa-ken,"9,237,337",25.6,***,"4,223,706",Kanagawa
2020,Niigata-ken,"2,201,272",32.9,***,"864,750",Niigata
2020,Toyama-ken,"1,034,814",32.8,***,"403,989",Toyama
2020,Ishikawa-ken,"1,132,526",30.0,***,"469,910",Ishikawa
2020,Fukui-ken,"766,863",30.8,***,"291,662",Fukui
2020,Yamanashi-ken,"809,974",31.1,***,"338,853",Yamanashi
2020,Nagano-ken,"2,048,011",32.2,***,"832,097",Nagano
2020,Gifu-ken,"1,978,742",30.6,***,"780,730",Gifu
2020,Shizuoka-ken,"3,633,202",30.2,***,"1,483,472",Shizuoka
2020,Aichi-ken,"7,542,415",25.4,***,"3,238,301",Aichi
2020,Mie-ken,"1,770,254",30.2,***,"742,598",Mie
2020,Shiga-ken,"1,413,610",26.4,***,"571,374",Shiga
2020,Kyoto-fu,"2,578,087",29.4,***,"1,190,527",Kyoto
2020,Osaka-fu,"8,837,685",27.5,***,"4,135,879",Osaka
2020,Hyogo-ken,"5,465,002",29.3,***,"2,402,484",Hyogo
2020,Nara-ken,"1,324,473",31.7,***,"544,981",Nara
2020,Wakayama-ken,"922,584",33.4,***,"394,483",Wakayama
2020,Tottori-ken,"553,407",32.5,***,"219,742",Tottori
2020,Shimane-ken,"671,126",34.4,***,"269,892",Shimane
2020,Okayama-ken,"1,888,432",30.7,***,"801,409",Okayama
2020,Hiroshima-ken,"2,799,702",29.6,***,"1,243,527",Hiroshima
2020,Yamaguchi-ken,"1,342,059",34.8,***,"598,824",Yamaguchi
2020,Tokushima-ken,"719,559",34.5,***,"308,210",Tokushima
2020,Kagawa-ken,"950,244",31.9,***,"406,985",Kagawa
2020,Ehime-ken,"1,334,841",33.4,***,"601,402",Ehime
2020,Kochi-ken,"691,527",35.6,***,"315,272",Kochi
2020,Fukuoka-ken,"5,135,214",28.1,***,"2,323,325",Fukuoka
2020,Saga-ken,"811,442",30.8,***,"312,680",Saga
2020,Nagasaki-ken,"1,312,317",33.1,***,"558,230",Nagasaki
2020,Kumamoto-ken,"1,738,301",31.6,***,"719,154",Kumamoto
2020,Oita-ken,"1,123,852",33.5,***,"489,249",Oita
2020,Miyazaki-ken,"1,069,576",32.7,***,"470,055",Miyazaki
2020,Kagoshima-ken,"1,588,256",32.8,***,"728,179",Kagoshima
2020,Okinawa-ken,"1,467,480",22.6,***,"614,708",Okinawa
