year,area,population,aging_rate_pct,households,prefecture_en,net_migration_rate
2024,Hokkaido,"5,043,000",33.3,***,Hokkaido,-0.4
2024,Aomori-ken,"1,165,000",35.7,***,Aomori,-4.4
2024,Iwate-ken,"1,145,000",35.4,***,Iwate,-2.8
2024,Miyagi-ken,"2,248,000",29.6,***,Miyagi,0.2
2024,Akita-ken,"897,000",39.5,***,Akita,-3.7
2024,Yamagata-ken,"1,011,000",35.6,***,Yamagata,-3.2
2024,Fukushima-ken,"1,743,000",33.7,***,Fukushima,-2.8
2024,Ibaraki-ken,"2,806,000",30.9,***,Ibaraki,-0.7
2024,Tochigi-ken,"1,885,000",30.5,***,Tochigi,-1.5
2024,Gumma-ken,"1,890,000",31.1,***,Gunma,0.5
2024,Saitama-ken,"7,332,000",27.5,***,Saitama,5.2
2024,Chiba-ken,"6,251,000",28.1,***,Chiba,3.8
2024,Tokyo-to,"14,178,000",22.7,***,Tokyo,8.2
2024,Kanagawa-ken,"9,225,000",26.0,***,Kanagawa,4.4
2024,Niigata-ken,"2,099,000",34.2,***,Niigata,-2.7
2024,Toyama-ken,"997,000",33.2,***,Toyama,-0.5
2024,Ishikawa-ken,"1,098,000",30.7,***,Ishikawa,-0.8
2024,Fukui-ken,"739,000",31.8,***,Fukui,-2.8
2024,Yamanashi-ken,"791,000",32.0,***,Yamanashi,-2.2
2024,Nagano-ken,"1,987,000",32.9,***,Nagano,-1.3
2024,Gifu-ken,"1,916,000",31.4,***,Gifu,0.0
2024,Shizuoka-ken,"3,527,000",31.2,***,Shizuoka,0.6
2024,Aichi-ken,"7,460,000",25.8,***,Aichi,3.4
2024,Mie-ken,"1,711,000",30.9,***,Mie,-1.0
2024,Shiga-ken,"1,402,000",27.3,***,Shiga,2.6
2024,Kyoto-fu,"2,520,000",29.8,***,Kyoto,0.7
2024,Osaka-fu,"8,757,000",27.6,***,Osaka,2.7
2024,Hyogo-ken,"5,337,000",30.2,***,Hyogo,0.3
2024,Nara-ken,"1,285,000",32.9,***,Nara,-1.9
2024,Wakayama-ken,"880,000",34.5,***,Wakayama,-2.9
2024,Tottori-ken,"531,000",33.7,***,Tottori,-2.2
2024,Shimane-ken,"642,000",35.2,***,Shimane,-1.2
2024,Okayama-ken,"1,831,000",31.2,***,Okayama,-0.2
2024,Hiroshima-ken,"2,714,000",30.4,***,Hiroshima,-0.8
2024,Yamaguchi-ken,"1,281,000",35.5,***,Yamaguchi,-1.5
2024,Tokushima-ken,"685,000",35.7,***,Tokushima,-3.5
2024,Kagawa-ken,"917,000",32.8,***,Kagawa,-0.3
2024,Ehime-ken,"1,276,000",34.5,***,Ehime,-2.3
2024,Kochi-ken,"656,000",36.6,***,Kochi,-3.1
2024,Fukuoka-ken,"5,092,000",28.6,***,Fukuoka,1.9
2024,Saga-ken,"788,000",32.0,***,Saga,-0.9
2024,Nagasaki-ken,"1,252,000",34.7,***,Nagasaki,-4.8
2024,Kumamoto-ken,"1,697,000",32.6,***,Kumamoto,-0.9
2024,Oita-ken,"1,085,000",34.4,***,Oita,-1.3
2024,Miyazaki-ken,"1,033,000",33.9,***,Miyazaki,-1.7
2024,Kagoshima-ken,"1,532,000",34.2,***,Kagoshima,-1.5
2024,Okinawa-ken,"1,466,000",24.2,***,Okinawa,1.9
