Prefecture,Rank,2014 GDP  (in millions of JP¥),gdp_usd_ppp,Share of Japan GDP(%),prefecture_en
Tokyo,1.0,94902100,920914,18.453,Tokyo
Osaka,2.0,37934000,368105,7.376,Osaka
Aichi,3.0,35990300,349244,6.998,Aichi
Kanagawa,4.0,30322000,294240,5.896,Kanagawa
Saitama,5.0,20914400,202950,4.067,Saitama
Chiba,6.0,20044900,194513,3.898,Chiba
Hyogo,7.0,19788100,192020,3.848,Hyogo
Hokkaido,8.0,18484600,179372,3.594,Hokkaido
Fukuoka,9.0,18112200,175757,3.522,Fukuoka
Shizuoka,10.0,15442500,149852,3.003,Shizuoka
Ibaraki,11.0,11612400,112685,2.258,Ibaraki
Hiroshima,12.0,11237900,109051,2.185,Hiroshima
Kyoto,13.0,10053800,97560,1.955,Kyoto
Miyagi,14.0,8895850,86324,1.73,Miyagi
Niigata,15.0,8699070,84414,1.691,Niigata
Tochigi,16.0,8182900,79406,1.591,Tochigi
Gunma,17.0,8005480,77684,1.557,Gunma
Nagano,18.0,7886950,76534,1.534,Nagano
Mie,19.0,7656380,74296,1.489,Mie
Fukushima,20.0,7399860,71807,1.439,Fukushima
Okayama,21.0,7242770,70289,1.408,Okayama
Gifu,22.0,7208830,69953,1.402,Gifu
Yamaguchi,23.0,5969040,57923,1.161,Yamaguchi
Shiga,24.0,5845870,56727,1.137,Shiga
Kumamoto,25.0,5599930,54341,1.089,Kumamoto
Kagoshima,26.0,5330340,51725,1.036,Kagoshima
Ehime,27.0,4756500,46156,0.925,Ehime
Iwate,28.0,4647040,45094,0.904,Iwate
Ishikawa,29.0,4588050,44522,0.892,Ishikawa
Toyama,30.0,4452550,43207,0.866,Toyama
Aomori,31.0,4427910,42968,0.861,Aomori
Nagasaki,32.0,4310310,41827,0.838,Nagasaki
Oita,33.0,4142640,40200,0.805,Oita
Okinawa,34.0,4051060,39311,0.788,Okinawa
Yamagata,35.0,3754560,36434,0.73,Yamagata
Kagawa,36.0,3672270,35635,0.714,Kagawa
Miyazaki,37.0,3643440,35355,0.708,Miyazaki
Wakayama,38.0,3579030,34730,0.6960000000000001,Wakayama
Nara,39.0,3540710,34359,0.6880000000000001,Nara
Akita,40.0,3458570,33561,0.672,Akita
Fukui,41.0,3129990,30373,0.609,Fukui
Yamanashi,42.0,3118690,30263,0.606,Yamanashi
Tokushima,43.0,3012330,29231,0.586,Tokushima
Saga,44.0,2737220,26562,0.532,Saga
Shimane,45.0,2382270,23117,0.463,Shimane
Kochi,46.0,2349510,22799,0.457,Kochi
Tottori,47.0,1779180,17265,0.346,Tottori
