prefecture_en,target_pop_change_pct,population_2024,population_2020,gdp_usd_ppp_2014,aging_rate_pct,net_migration_rate,vacancy_rate_pct,region,dist_to_tokyo_km
Hokkaido,-3.4761228293611737,5043000,5224614,179372,33.3,-0.4,13.295312054766322,Hokkaido,1259.1228072779372
Aomori,-5.895391216687776,1165000,1237984,42968,35.7,-4.4,14.777767041081194,Tohoku,810.8224364896544
Iwate,-5.413643895999617,1145000,1210534,45094,35.4,-2.8,15.957374184211243,Tohoku,657.0596366978202
Miyagi,-2.3456165866491516,2248000,2301996,86324,29.6,0.2,11.72482509346168,Tohoku,485.64179562644443
Akita,-6.514004139647442,897000,959502,33561,39.5,-3.7,13.63268436075491,Tohoku,655.0730460836216
Yamagata,-5.339471754927544,1011000,1068027,36434,35.6,-3.2,11.985449399069028,Tohoku,465.15386509874924
Fukushima,-4.917868240058653,1743000,1833152,71807,33.7,-2.8,14.25420499047219,Tohoku,319.01543816177207
Ibaraki,-2.127966811405196,2806000,2867009,112685,30.9,-0.7,14.276065221058207,Kanto,182.23948099844026
Tochigi,-2.4905516706963673,1885000,1933146,79406,30.5,-1.5,16.781134120629932,Kanto,215.9968703646079
Gunma,-2.5326051642248246,1890000,1939110,77684,31.1,0.5,16.428796785227988,Kanto,198.6980523666593
Saitama,-0.17379725559633288,7332000,7344765,202950,27.5,5.2,9.866218972493996,Kanto,120.34812651382859
Chiba,-0.5327409745913743,6251000,6284480,194513,28.1,3.8,12.118466324920636,Kanto,89.01629500082755
Tokyo,0.9283155535389193,14178000,14047594,920914,22.7,8.2,10.077042906130089,Kanto,0.0
Kanagawa,-0.1335558072635003,9225000,9237337,294240,26.0,4.4,10.29435439509677,Kanto,45.05723675902669
Niigata,-4.64604101628513,2099000,2201272,84414,34.2,-2.7,14.4616449873881,Chubu,337.85637014141014
Toyama,-3.6541832638522482,997000,1034814,43207,33.2,-0.5,12.931341044723045,Chubu,327.7934690877392
Ishikawa,-3.0485834320801466,1098000,1132526,44522,30.7,-0.8,14.20459732340107,Chubu,382.88112622430276
Fukui,-3.633373888165161,739000,766863,30373,31.8,-2.8,13.366521912184922,Chubu,382.975893198553
Yamanashi,-2.342544328583387,791000,809974,30263,32.0,-2.2,20.98621205867745,Chubu,123.73245771293183
Nagano,-2.979036733689419,1987000,2048011,76534,32.9,-1.3,19.16656061752657,Chubu,216.94063677185517
Gifu,-3.1708024593403286,1916000,1978742,69953,31.4,0.0,15.186903197071253,Chubu,291.72909330904935
Shizuoka,-2.9230964862399613,3527000,3633202,149852,31.2,0.6,15.954023405277518,Chubu,137.19693410674998
Aichi,-1.092687156567227,7460000,7542415,349244,25.8,3.4,10.842209509041735,Chubu,261.04376985290344
Mie,-3.3472032826927665,1711000,1770254,74296,30.9,-1.0,14.859011371271205,Kansai,362.87365651432395
Shiga,-0.8213014905101124,1402000,1413610,56727,27.3,2.6,12.443033280516843,Kansai,380.54541937354145
Kyoto,-2.2531047245496367,2520000,2578087,97560,29.8,0.7,12.610775533333774,Kansai,457.9701494602619
Osaka,-0.9129653297215278,8757000,8837685,368105,27.6,2.7,14.641055757573508,Kansai,455.7298847750188
Hyogo,-2.34221323249287,5337000,5465002,192020,30.2,0.3,13.038045610717694,Kansai,526.3210397342965
Nara,-2.980279703701019,1285000,1324473,34359,32.9,-1.9,13.793517995637323,Kansai,424.71794545806137
Wakayama,-4.615731467270189,880000,922584,34730,34.5,-2.9,19.964169995719065,Kansai,479.41698582091476
Tottori,-4.048918788522733,531000,553407,17265,33.7,-2.2,15.367313454679907,Chugoku,635.5194577534653
Shimane,-4.339870605519678,642000,671126,23117,35.2,-1.2,15.179514255543822,Chugoku,778.130701994472
Okayama,-3.0412532725562795,1831000,1888432,70289,31.2,-0.2,15.096794288432466,Chugoku,639.6658078216143
Hiroshima,-3.0611115040100696,2714000,2799702,109051,30.4,-0.8,14.775958501213395,Chugoku,756.6887073010585
Yamaguchi,-4.54965094679146,1281000,1342059,57923,35.5,-1.5,17.474614952096402,Chugoku,897.3557783359653
Tokushima,-4.802802827843165,685000,719559,29231,35.7,-3.5,19.382176767544664,Shikoku,613.6915638626988
Kagawa,-3.498469866686872,917000,950244,35635,32.8,-0.3,17.811524985611438,Shikoku,630.3504269724848
Ehime,-4.408090551608768,1276000,1334841,46156,34.5,-2.3,17.751592583171274,Shikoku,772.8731845829908
Kochi,-5.137471132725114,656000,691527,22799,36.6,-3.1,19.134485164361635,Shikoku,726.12643894445
Fukuoka,-0.8415228654540979,5092000,5135214,175757,28.6,1.9,12.390998991298774,Kyushu,1012.7860733511733
Saga,-2.8889310634647947,788000,811442,26562,32.0,-0.9,13.904950713145,Kyushu,1079.7021312187876
Nagasaki,-4.596221797020079,1252000,1312317,41827,34.7,-4.8,15.38508177587801,Kyushu,1135.7196314418197
Kumamoto,-2.3759406454923515,1697000,1738301,54341,32.6,-0.9,13.46482900028157,Kyushu,1035.9046580241982
Oita,-3.457038827176532,1085000,1123852,40200,34.4,-1.3,16.64539849288439,Kyushu,940.7654704018963
Miyazaki,-3.4196728423225653,1033000,1069576,35355,33.9,-1.7,15.191563450036536,Kyushu,999.3882403704062
Kagoshima,-3.541998267281849,1532000,1588256,51725,34.2,-1.5,18.655486779739025,Kyushu,1150.8284597571162
Okinawa,-0.10085316324583639,1466000,1467480,39311,24.2,1.9,9.947143895178492,Kyushu,1875.205818800347
