pref_jp,pref_en,region,pref_code
北海道,Hokkaido,Hokkaido,1
青森県,Aomori,Tohoku,2
岩手県,Iwate,Tohoku,3
宮城県,Miyagi,Tohoku,4
秋田県,Akita,Tohoku,5
山形県,Yamagata,Tohoku,6
福島県,Fukushima,Tohoku,7
茨城県,Ibaraki,Kanto,8
栃木県,Tochigi,Kanto,9
群馬県,Gunma,Kanto,10
埼玉県,Saitama,Kanto,11
千葉県,Chiba,Kanto,12
東京都,Tokyo,Kanto,13
神奈川県,Kanagawa,Kanto,14
新潟県,Niigata,Chubu,15
富山県,Toyama,Chubu,16
石川県,Ishikawa,Chubu,17
福井県,Fukui,Chubu,18
山梨県,Yamanashi,Chubu,19
長野県,Nagano,Chubu,20
岐阜県,Gifu,Chubu,21
静岡県,Shizuoka,Chubu,22
愛知県,Aichi,Chubu,23
三重県,Mie,Kansai,24
滋賀県,Shiga,Kansai,25
京都府,Kyoto,Kansai,26
大阪府,Osaka,Kansai,27
兵庫県,Hyogo,Kansai,28
奈良県,Nara,Kansai,29
和歌山県,Wakayama,Kansai,30
鳥取県,Tottori,Chugoku,31
島根県,Shimane,Chugoku,32
岡山県,Okayama,Chugoku,33
広島県,Hiroshima,Chugoku,34
山口県,Yamaguchi,Chugoku,35
徳島県,Tokushima,Shikoku,36
香川県,Kagawa,Shikoku,37
愛媛県,Ehime,Shikoku,38
高知県,Kochi,Shikoku,39
福岡県,Fukuoka,Kyushu,40
佐賀県,Saga,Kyushu,41
長崎県,Nagasaki,Kyushu,42
熊本県,Kumamoto,Kyushu,43
大分県,Oita,Kyushu,44
宮崎県,Miyazaki,Kyushu,45
鹿児島県,Kagoshima,Kyushu,46
沖縄県,Okinawa,Kyushu,47
