prefecture_en,pop_2024,prophet_pop_2035,projected_change_pct
Kyoto,2520000,2892109.346522437,14.766243909620513
Saga,788000,795299.1376776001,0.9262865073096627
Kumamoto,1697000,1768325.2801450952,4.203021811732186
Kagawa,917000,936506.0108618975,2.1271549467718094
Aichi,7460000,7718104.27993127,3.4598428945210404
Tochigi,1885000,2148184.0839309758,13.962020367691022
Yamanashi,791000,862231.2751017101,9.005218091240216
Shiga,1402000,1607586.2146189748,14.66378135656026
Gunma,1890000,2091434.4372552827,10.657906733083738
Miyagi,2248000,2578819.653579343,14.716176760646935
Shizuoka,3527000,4130964.434636965,17.12402706654281
Ibaraki,2806000,3284713.9817352565,17.06036998343751
Okinawa,1466000,1620117.5001539378,10.51278991500258
Yamagata,1011000,994652.6416019746,-1.6169493964416803
Wakayama,880000,799678.8789763435,-9.127400116324596
Nagasaki,1252000,1228542.0664524597,-1.8736368648195156
Akita,897000,795776.012343052,-11.284725491298556
Okayama,1831000,1871120.453342323,2.1911771350258307
Fukuoka,5092000,5253804.366299931,3.1776191339342295
Gifu,1916000,2222714.6822444336,16.008073186035155
Aomori,1165000,1325826.9631655775,13.804889542109658
Osaka,8757000,10530386.544676483,20.251073937152935
Nagano,1987000,2068341.0849860993,4.093663059189697
Oita,1085000,1136726.350048281,4.767405534403781
Mie,1711000,1646332.2040705439,-3.779532199266869
Hiroshima,2714000,2733763.3042742894,0.7281983888831762
Hokkaido,5043000,5710936.054523754,13.244815675664364
Hyogo,5337000,6266749.60564123,17.420828286326213
Chiba,6251000,7799015.3005176205,24.764282523078236
Toyama,997000,944973.4774388213,-5.218307177650818
Tokyo,14178000,15329722.385743435,8.12330643069146
Saitama,7332000,9207656.189674357,25.58178109212162
Yamaguchi,1281000,1221518.5734964372,-4.643358821511541
Fukushima,1743000,1910122.4970173158,9.588209811664704
Ishikawa,1098000,1104683.5793742572,0.6087048610434647
Fukui,739000,699869.829069301,-5.295016364099997
Ehime,1276000,1274333.0069905568,-0.13064208537955815
Nara,1285000,1628598.4951932067,26.739182505307912
Shimane,642000,626766.6322760936,-2.3727987108888495
Iwate,1145000,1112168.2108459284,-2.8674051662944624
Tottori,531000,527447.604593569,-0.6690010181602736
Tokushima,685000,723457.5375027881,5.614239051501916
Kagoshima,1532000,1570193.4756213108,2.4930467115738093
Niigata,2099000,1946279.5200643423,-7.275868505748343
Kochi,656000,692427.7031588553,5.553003530313312
Miyazaki,1033000,1113535.850740744,7.796306944892936
Kanagawa,9225000,11434891.087276394,23.955458940665515
