prefecture_en,target_pop_change_pct,population_2024,population_2020,gdp_usd_ppp_2014,aging_rate_pct,net_migration_rate,vacancy_rate_pct,region,dist_to_tokyo_km,aging_rate_pct_lag,vacancy_rate_pct_lag,net_migration_rate_lag,gdp_usd_ppp_2014_lag,aging_x_vacancy,pop_x_dist_tokyo
Kyoto,-2.2531047245496367,2520000,2578087,97560,29.8,0.7,12.610775533333774,Kansai,457.9701494602619,29.225,13.372164140248241,0.7000000000000002,161806.25,375.80111089334645,1154084776.63986
Saga,-2.8889310634647947,788000,811442,26562,32.0,-0.9,13.904950713145,Kyushu,1079.7021312187876,32.575,14.471577065085686,-1.2750000000000001,78031.25,444.95842282064,850805279.4004046
Kumamoto,-2.3759406454923515,1697000,1738301,54341,32.6,-0.9,13.46482900028157,Kyushu,1035.9046580241982,32.225,14.533227911841177,-0.5,69468.5,438.9534254091792,1757930204.6670642
Kagawa,-3.498469866686872,917000,950244,35635,32.8,-0.3,17.811524985611438,Shikoku,630.3504269724848,33.425,16.662875457764116,-1.625,78584.75,584.2180195280552,578031341.5337685
Aichi,-1.092687156567227,7460000,7542415,349244,25.8,3.4,10.842209509041735,Chubu,261.04376985290344,30.200000000000003,14.610742813534205,0.55,87707.0,279.7290053332768,1947386523.1026597
Tochigi,-2.4905516706963677,1885000,1933146,79406,30.5,-1.5,16.781134120629932,Kanto,215.9968703646079,30.8,13.706321492313094,0.55,116281.5,511.8245906792129,407154100.6372859
Yamanashi,-2.342544328583387,791000,809974,30263,32.0,-2.2,20.98621205867745,Chubu,123.73245771293185,29.4,13.820289347598713,2.225,180894.0,671.5587858776784,97872374.05092908
Shiga,-0.8213014905101124,1402000,1413610,56727,27.3,2.6,12.443033280516843,Kansai,380.5454193735415,30.025000000000002,13.869341143590852,-0.09999999999999987,142583.5,339.69480855810986,533524677.9617052
Gunma,-2.5326051642248246,1890000,1939110,77684,31.1,0.5,16.428796785227988,Kanto,198.6980523666593,30.725,16.700031442331987,0.050000000000000044,97288.25,510.93558002059046,375539318.9729861
Miyagi,-2.345616586649152,2248000,2301996,86324,29.6,0.2,11.72482509346168,Tohoku,485.6417956264444,36.05,13.957428233626842,-3.125,46724.0,347.05482276646575,1091722756.5682468
Shizuoka,-2.9230964862399613,3527000,3633202,149852,31.2,0.6,15.954023405277518,Chubu,137.19693410674998,26.625,13.04995471723651,3.4499999999999997,398665.25,497.7655302446585,483893586.59450716
Ibaraki,-2.127966811405196,2806000,2867009,112685,30.9,-0.7,14.276065221058207,Kanto,182.23948099844023,29.95,13.255006102129189,1.175,137169.0,441.1304153306986,511363983.6816233
Okinawa,-0.1008531632458363,1466000,1467480,39311,24.2,1.9,9.947143895178492,Kyushu,1875.205818800347,33.85,15.674240251483788,-2.225,45812.0,240.7208822633195,2749051730.3613086
Yamagata,-5.339471754927544,1011000,1068027,36434,35.6,-3.2,11.985449399069028,Tohoku,465.1538650987493,34.25,13.51833985801922,-2.25,69026.5,426.6819986068574,470270557.61483556
Wakayama,-4.615731467270189,880000,922584,34730,34.5,-2.9,19.964169995719065,Kansai,479.4169858209148,31.775000000000002,15.668940473006675,-0.9249999999999999,126497.75,688.7638648523077,421886947.522405
Nagasaki,-4.596221797020079,1252000,1312317,41827,34.7,-4.8,15.38508177587801,Kyushu,1135.7196314418195,31.9,14.101544299402434,-0.30000000000000004,74215.0,533.862337622967,1421920978.5651581
Akita,-6.514004139647442,897000,959502,33561,39.5,-3.7,13.63268436075491,Tohoku,655.0730460836216,34.075,13.611353929455788,-2.55,52705.0,538.4910322498189,587600522.3370086
Okayama,-3.0412532725562795,1831000,1888432,70289,31.2,-0.2,15.096794288432466,Chugoku,639.6658078216143,31.775,15.24821063805561,-0.75,88492.75,471.01998179909293,1171228094.1213758
Fukuoka,-0.8415228654540979,5092000,5135214,175757,28.6,1.9,12.390998991298774,Kyushu,1012.7860733511732,33.425,14.850064995547243,-1.9749999999999999,40732.5,354.382571151145,5157106685.504174
Gifu,-3.170802459340329,1916000,1978742,69953,31.4,0.0,15.186903197071253,Chubu,291.72909330904935,30.925,14.076658270869068,-0.30000000000000004,124839.5,476.8687603880373,558952942.7801385
Aomori,-5.895391216687776,1165000,1237984,42968,35.7,-4.4,14.777767041081194,Tohoku,810.8224364896544,35.025,13.325083259374214,-2.375,50353.25,527.5662833665987,944608138.5104474
Osaka,-0.9129653297215278,8757000,8837685,368105,27.6,2.7,14.641055757573508,Kansai,455.7298847750188,31.85,14.851627283851965,-0.95,89667.25,404.0931389090288,3990826600.974839
Nagano,-2.979036733689419,1987000,2048011,76534,32.9,-1.3,19.16656061752657,Chubu,216.9406367718552,31.925,16.383313271424935,-0.55,55276.75,630.5798443166242,431061045.26567626
Oita,-3.457038827176532,1085000,1123852,40200,34.4,-1.3,16.64539849288439,Kyushu,940.7654704018964,32.65,14.63050159842832,-0.55,80844.0,572.6017081552229,1020730535.3860576
Mie,-3.3472032826927665,1711000,1770254,74296,30.9,-1.0,14.859011371271205,Kansai,362.873656514324,28.4,12.929954135692354,1.6999999999999997,202108.75,459.1434513722802,620876826.2960083
Hiroshima,-3.0611115040100696,2714000,2799702,109051,30.4,-0.8,14.775958501213395,Chugoku,756.6887073010585,33.425,16.45985652818975,-1.0,43799.25,449.1891384368872,2053653151.6150727
Hokkaido,-3.4761228293611737,5043000,5224614,179372,33.3,-0.4,13.295312054766322,Hokkaido,1259.1228072779372,35.05,14.023162669877259,-2.675,51986.75,442.7338914237185,6349756317.102637
Hyogo,-2.34221323249287,5337000,5465002,192020,30.2,0.3,13.038045610717694,Kansai,526.3210397342965,30.575,14.428984758504916,0.25,138304.75,393.74897744367433,2808975389.0619407
Chiba,-0.5327409745913743,6251000,6284480,194513,28.1,3.8,12.118466324920636,Kanto,89.01629500082755,26.775,11.128420373694764,4.275,382697.25,340.52890373026986,556440860.050173
Toyama,-3.654183263852248,997000,1034814,43207,33.2,-0.5,12.931341044723045,Chubu,327.7934690877392,31.7,15.481145762545953,-1.225,55345.5,429.3205226848051,326810088.68047595
Tokyo,0.9283155535389191,14178000,14047594,920914,22.7,8.2,10.077042906130089,Kanto,0.0,28.4,13.316312937797212,2.8,180491.5,228.748873969153,0.0
Saitama,-0.1737972555963328,7332000,7344765,202950,27.5,5.2,9.866218972493996,Kanto,120.3481265138286,29.9,16.122624339908036,0.30000000000000004,120398.25,271.3210217435849,882392463.5993913
Yamaguchi,-4.54965094679146,1281000,1342059,57923,35.5,-1.5,17.474614952096402,Chugoku,897.3557783359653,32.150000000000006,14.747967560235095,-0.35000000000000003,87031.25,620.3488307994223,1149512752.0483716
Fukushima,-4.917868240058653,1743000,1833152,71807,33.7,-2.8,14.25420499047219,Tohoku,319.01543816177207,32.8,14.376073432036316,-2.0250000000000004,78234.75,480.3667081789128,556043908.7159687
Ishikawa,-3.0485834320801466,1098000,1132526,44522,30.7,-0.8,14.20459732340107,Chubu,382.8811262243028,32.325,15.162831692876448,-1.15,55016.75,436.0811378284128,420403476.5942845
Fukui,-3.633373888165161,739000,766863,30373,31.8,-2.8,13.366521912184922,Chubu,382.975893198553,29.8,13.611327333580734,0.625,67190.5,425.0553968074805,283019185.0737307
Ehime,-4.408090551608768,1276000,1334841,46156,34.5,-2.3,17.751592583171274,Shikoku,772.8731845829908,33.875,17.776036354682784,-1.9249999999999998,49179.0,612.4299441194089,986186183.5278963
Nara,-2.980279703701019,1285000,1324473,34359,32.9,-1.9,13.793517995637323,Kansai,424.71794545806137,30.075000000000003,15.476817601270156,0.3500000000000001,133464.5,453.8067420564679,545762559.9136089
Shimane,-4.339870605519678,642000,671126,23117,35.2,-1.2,15.179514255543822,Chugoku,778.130701994472,32.7,15.678670299105542,-1.175,63632.0,534.3189017951426,499559910.68045104
Iwate,-5.413643895999617,1145000,1210534,45094,35.4,-2.8,15.957374184211243,Tohoku,657.0596366978202,35.1,13.030181473591703,-2.7750000000000004,49821.75,564.891046121078,752333284.0190041
Tottori,-4.048918788522733,531000,553407,17265,33.7,-2.2,15.367313454679907,Chugoku,635.5194577534653,32.35,15.281469785076355,-0.35,80265.25,517.8784634227129,337460832.0670901
Tokushima,-4.802802827843165,685000,719559,29231,35.7,-3.5,19.382176767544664,Shikoku,613.6915638626988,33.775,18.00174360853115,-1.625,40863.25,691.9437106013445,420378721.2459487
Kagoshima,-3.541998267281849,1532000,1588256,51725,34.2,-1.5,18.655486779739025,Kyushu,1150.8284597571162,33.3,14.486606234835278,-2.0749999999999997,39521.25,638.0176478670747,1763069200.347902
Niigata,-4.64604101628513,2099000,2201272,84414,34.2,-2.7,14.4616449873881,Chubu,337.85637014141014,32.725,14.862396323849783,-1.75,66332.75,494.58825856867304,709160520.9268199
Kochi,-5.137471132725114,656000,691527,22799,36.6,-3.1,19.134485164361635,Shikoku,726.12643894445,33.349999999999994,17.430313209385194,-1.725,55018.25,700.3221570156359,476338943.9475592
Miyazaki,-3.4196728423225653,1033000,1069576,35355,33.9,-1.7,15.191563450036536,Kyushu,999.3882403704062,32.45,15.28917831605094,-0.45000000000000007,80505.75,514.9940009562386,1032368052.3026296
Kanagawa,-0.1335558072635003,9225000,9237337,294240,26.0,4.4,10.29435439509677,Kanto,45.05723675902669,27.575,13.261985065555542,3.75,337160.0,267.65321427251604,415653009.10202116
